label,interval,depth_mbsf,depth_rmcd,link,label2,interval2,depth_mbsf2,depth_rmcd2
1267A-3H-5,82.5,25.220,28.610,Tie to,1267B-4H-1,130,23.400,28.610
1267B-4H-6,137.5,30.980,36.190,Tie to,1267A-4H-2,126,30.570,36.190
1267A-4H-5,137.5,35.180,40.800,Tie to,1267B-5H-3,104.5,35.660,40.800
1267B-5H-7,37.5,40.480,45.620,Tie to,1267A-5H-3,32,40.730,45.620
1267A-5H-7,32.5,46.720,51.610,Tie to,1267B-6H-4,6,45.670,51.610
1267B-6H-6,145,50.050,55.990,Tie to,1267A-6H-4,22,51.630,55.990
1267A-6H-6,67.5,55.080,59.440,Tie to,1267B-7H-2,102,53.130,59.440
1267B-7H-6,20,58.300,64.610,Tie to,1267A-7H-1,85,57.250,64.610
1267A-7H-3,27.5,59.680,67.040,Tie to,1267B-8H-1,24.5,60.360,67.040
1267B-8H-7,22.5,69.320,76.000,Tie to,1267A-8H-2,70,68.100,76.000
1267A-8H-7,45,75.350,83.250,Tie to,1267B-9H-2,80,71.900,83.250
1267B-9H-5,62.5,76.220,87.570,Tie to,1267A-9H-3,2,78.430,87.570
1267A-9H-5,35,81.750,90.890,Tie to,1267B-10H-2,76,81.370,90.890
1267B-10H-5,120,86.300,95.820,Tie to,1267A-10H-2,33.5,86.740,95.820
1267A-10H-6,37.5,92.780,101.860,Tie to,1267B-11H-2,112,91.230,101.860
1267B-11H-5,127.5,95.880,106.510,Tie to,1267A-11H-3,30,97.700,106.510
1267A-11H-5,32.5,100.720,109.530,Tie to,1267B-12H-1,82.5,98.920,109.530
1267B-12H-6,67.5,106.280,116.890,Tie to,1267A-12H-2,142,106.830,116.890
1267A-12H-6,5,111.450,121.510,Tie to,1267B-13H-2,43.5,109.540,121.510
1267B-13H-5,130,114.850,126.820,Tie to,1267A-13H-2,35,115.250,126.820
1267A-13H-6,75,121.650,133.220,Tie to,1267B-14H-2,118.5,119.750,133.220
1267B-14H-6,97.5,125.540,139.010,Tie to,1267A-14H-2,146,125.860,139.010
1267A-14H-6,97.5,131.380,144.530,Tie to,1267B-15H-3,52.5,130.120,144.530
1267B-15H-6,12.5,134.220,148.630,Tie to,1267A-15H-2,102,134.930,148.630
1267A-15H-5,100,139.400,153.100,Tie to,1267B-16H-2,12.5,137.720,153.100
1267B-16H-6,95,144.550,159.930,Tie to,1267A-16H-2,12,143.530,159.930
1267A-16H-5,120,149.100,165.500,Tie to,1267B-17H-2,132.5,148.420,165.500
1267B-17H-7,32.5,154.920,172.000,Tie to,1267A-17H-3,78.5,155.190,172.000
1267A-17H-6,85,159.750,176.560,Tie to,1267B-18H-3,67.5,158.780,176.560
1267B-18H-5,135,162.450,180.250,Tie to,1267A-18H-1,115,162.075,180.250
1267A-18H-3,137.5,165.280,183.450,Tie to,1267B-19H-1,15,164.750,183.450
1267B-19H-6,145,173.550,192.250,Tie to,1267A-19H-2,85,172.775,192.250
1267A-19H-5,75,176.710,196.210,Tie to,1267B-20H-1,101,175.025,196.210
1267B-20H-6,112.5,182.725,203.825,Tie to,1267A-20H-2,133.5,182.725,203.825
1267A-20H-6,85,187.850,208.950,Tie to,1267B-21H-2,85,185.950,208.950
1267B-21H-6,145,192.550,215.550,Tie to,1267A-21H-4,15,193.350,215.550
1267A-21H-6,127.5,197.475,219.675,Tie to,1267B-22H-2,52.5,195.125,219.675
1267B-22H-6,80,201.400,225.950,Tie to,1267A-22H-3,38,201.650,225.950
1267A-22H-5,57.5,204.845,229.145,Tie to,1267B-23H-1,49.5,203.095,229.145
1267B-23H-6,130,210.500,236.550,Tie to,1267A-23H-3,5,211.450,236.550
1267A-23H-6,97.5,216.875,241.975,Tie to,1267B-24H-2,52.5,214.125,241.975
1267B-24H-5,145,219.550,247.400,Tie to,1267A-24H-2,35,219.750,247.400
1267A-24H-5,35,224.250,251.900,Tie to,1267B-25H-1,9,221.690,251.900
1267B-25H-5,145,229.050,259.260,Tie to,1267A-25H-2,16,228.260,259.260
1267A-25H-7,12.5,235.725,266.725,Tie to,1267A-26X-1,2.5,236.125,266.725
1267A-26H-7,10,244.700,275.300,Tie to,1267B-27X-4,115,240.050,275.300
1267B-27X-cc,30,242.890,278.140,Append to,1267A-27X-1,0,244.900,278.400
1267A-27X-3,27.5,248.175,281.675,Tie to,1267B-28X-2,107.5,246.575,281.675
1267B-28X-6,100,252.500,287.600,Tie to,1267A-28X-1,0,254.500,287.600
1267A-28X-3,110,258.600,291.700,Tie to,1267B-29X-3,25,256.850,291.700
1267B-29X-6,87.5,261.950,296.825,Tie to,1267A-29X-1,12.5,264.225,296.825
1267A-29X-5,95,271.050,303.650,Tie to,1267B-30X-5,25,269.550,303.650
1267B-30X-7,45,272.750,306.850,Tie to,1267A-30X-1,30,274.000,306.850
1267A-30X-7,37.5,283.075,315.925,Tie to,1267B-32X-1,57.5,281.575,315.925
1267B-32X-5,65,287.250,321.600,Tie to,1267A-31X-4,67,287.470,321.600
1267A-31X-7,127.5,292.757,326.705,Tie to,1267B-33X-1,70.5,291.305,326.705
1267B-33X-C,30,300.360,335.760,Append to,1267B-34X-1,0,300.200,335.760
1267B-34X-5,34,306.575,342.175,Tie to,1267A-33X-3,89.5,306.375,342.175
1267A-33X-6,52.5,310.505,346.305,Tie to,1267B-35X-1,35.5,310.155,346.305
1267B-35X-C,27.5,319.570,355.720,Append to,1267B-36X-1,0,319.400,356.900
1267B-36X-C,37.5,329.200,366.700,end of splice,,,,
